,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4,4,2,3,3,4,4,2,4,0,2,4,1,2,4,4,4,2,2,4
2,1,4,2,3,4,3,4,4,2,3,3,4,4,3,3,3,2,4,4,3
3,4,3,4,4,0,4,2,2,3,3,4,2,3,4,4,3,3,3,2,2
4,3,4,0,4,4,4,3,3,4,2,3,3,3,3,4,3,3,3,4,4
5,3,2,4,4,4,0,3,3,2,4,3,4,3,3,1,3,3,2,3,4
6,2,3,4,0,4,4,4,4,3,3,2,3,3,2,3,3,3,4,3,2
7,4,0,4,3,3,2,4,2,4,4,2,2,4,4,2,4,4,3,4,4
8,2,4,4,3,3,2,2,4,0,4,4,3,3,2,3,2,2,3,3,2
9,4,2,3,2,4,3,4,4,4,2,0,3,3,3,3,4,4,4,3,4
10,4,4,3,4,2,3,0,4,2,4,4,2,3,3,4,2,2,3,2,2
11,2,4,2,3,3,4,2,4,4,4,4,3,4,4,3,2,2,4,3,2
12,4,4,3,3,3,3,3,2,3,1,3,4,0,1,4,4,3,1,1,4
13,1,3,3,3,4,2,4,4,3,4,3,4,4,4,1,2,3,4,4,3
14,4,3,2,3,3,4,2,4,3,3,2,1,4,4,4,2,4,4,4,3
15,4,3,3,4,1,4,1,3,3,4,4,1,4,4,4,2,3,4,3,2
16,4,2,3,3,3,3,4,2,4,2,2,3,2,2,3,4,4,3,3,4
17,4,2,3,3,3,3,4,2,4,2,2,3,3,4,3,4,4,2,3,4
18,2,3,3,3,3,3,3,4,4,4,3,4,4,4,2,3,2,4,3,2
19,1,4,2,3,4,3,4,4,2,3,3,4,4,3,3,3,2,4,4,3
20,4,2,2,4,4,2,4,2,4,2,2,4,3,3,2,4,4,2,4,4
